DRG;DESCRIPTION
291;HEART FAILURE AND SHOCK WITH MAJOR COMPLICATION OR COMORBIDITY
292;HEART FAILURE AND SHOCK WITH COMPLICATION OR COMORBIDITY
293;HEART FAILURE AND SHOCK WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
294;DEEP VEIN THROMBOPHLEBITIS WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
295;DEEP VEIN THROMBOPHLEBITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
296;CARDIAC ARREST, UNEXPLAINED WITH MAJOR COMPLICATION OR COMORBIDITY
297;CARDIAC ARREST, UNEXPLAINED WITH COMPLICATION OR COMORBIDITY
298;CARDIAC ARREST, UNEXPLAINED WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
299;PERIPHERAL VASCULAR DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
300;PERIPHERAL VASCULAR DISORDERS WITH COMPLICATION OR COMORBIDITY
301;PERIPHERAL VASCULAR DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
302;ATHEROSCLEROSIS WITH MAJOR COMPLICATION OR COMORBIDITY
303;ATHEROSCLEROSIS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
304;HYPERTENSION WITH MAJOR COMPLICATION OR COMORBIDITY
305;HYPERTENSION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
306;CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
307;CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
308;CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
309;CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH COMPLICATION OR COMORBIDITY
310;CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
311;ANGINA PECTORIS
312;SYNCOPE AND COLLAPSE
313;CHEST PAIN
314;OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
315;OTHER CIRCULATORY SYSTEM DIAGNOSES WITH COMPLICATION OR COMORBIDITY
316;OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
326;STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
327;STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
328;STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
329;MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
330;MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH COMPLICATION OR COMORBIDITY
331;MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
332;RECTAL RESECTION WITH MAJOR COMPLICATION OR COMORBIDITY
333;RECTAL RESECTION WITH COMPLICATION OR COMORBIDITY
334;RECTAL RESECTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
335;PERITONEAL ADHESIOLYSIS WITH MAJOR COMPLICATION OR COMORBIDITY
336;PERITONEAL ADHESIOLYSIS WITH COMPLICATION OR COMORBIDITY
337;PERITONEAL ADHESIOLYSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
338;APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
339;APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
340;APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
341;APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
342;APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
343;APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
344;MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
345;MINOR SMALL AND LARGE BOWEL PROCEDURES WITH COMPLICATION OR COMORBIDITY
346;MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
347;ANAL AND STOMAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
348;ANAL AND STOMAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
349;ANAL AND STOMAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
350;INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
351;INGUINAL AND FEMORAL HERNIA PROCEDURES WITH COMPLICATION OR COMORBIDITY
352;INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
353;HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MAJOR COMPLICATION OR COMORBIDITY
354;HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH COMPLICATION OR COMORBIDITY
355;HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
356;OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
357;OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY
358;OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
368;MAJOR ESOPHAGEAL DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
369;MAJOR ESOPHAGEAL DISORDERS WITH COMPLICATION OR COMORBIDITY
370;MAJOR ESOPHAGEAL DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
371;MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MAJOR COMPLICATION OR COMORBIDITY
372;MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH COMPLICATION OR COMORBIDITY
373;MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
374;DIGESTIVE MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
375;DIGESTIVE MALIGNANCY WITH COMPLICATION OR COMORBIDITY
376;DIGESTIVE MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
377;G.I. HEMORRHAGE WITH MAJOR COMPLICATION OR COMORBIDITY
378;G.I. HEMORRHAGE WITH COMPLICATION OR COMORBIDITY
379;G.I. HEMORRHAGE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
380;COMPLICATED PEPTIC ULCER WITH MAJOR COMPLICATION OR COMORBIDITY
381;COMPLICATED PEPTIC ULCER WITH COMPLICATION OR COMORBIDITY
382;COMPLICATED PEPTIC ULCER WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
383;UNCOMPLICATED PEPTIC ULCER WITH MAJOR COMPLICATION OR COMORBIDITY
384;UNCOMPLICATED PEPTIC ULCER WITHOUT MAJOR COMPLICATION OR COMORBIDITY
385;INFLAMMATORY BOWEL DISEASE WITH MAJOR COMPLICATION OR COMORBIDITY
386;INFLAMMATORY BOWEL DISEASE WITH COMPLICATION OR COMORBIDITY
387;INFLAMMATORY BOWEL DISEASE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
388;G.I. OBSTRUCTION WITH MAJOR COMPLICATION OR COMORBIDITY
389;G.I. OBSTRUCTION WITH COMPLICATION OR COMORBIDITY
390;G.I. OBSTRUCTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
391;ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
392;ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
393;OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
394;OTHER DIGESTIVE SYSTEM DIAGNOSES WITH COMPLICATION OR COMORBIDITY
395;OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
405;PANCREAS, LIVER AND SHUNT PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
406;PANCREAS, LIVER AND SHUNT PROCEDURES WITH COMPLICATION OR COMORBIDITY
407;PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
408;BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MAJOR COMPLICATION OR COMORBIDITY
409;BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH COMPLICATION OR COMORBIDITY
410;BILIARY TRACT PROC EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
411;CHOLECYSTECTOMY WITH C.D.E. WITH MAJOR COMPLICATION OR COMORBIDITY
412;CHOLECYSTECTOMY WITH C.D.E. WITH COMPLICATION OR COMORBIDITY
413;CHOLECYSTECTOMY WITH C.D.E. WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
414;CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MAJOR COMPLICATION OR COMORBIDITY
415;CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH COMPLICATION OR COMORBIDITY
416;CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
417;LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MAJOR COMPLICATION OR COMORBIDITY
418;LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH COMPLICATION OR COMORBIDITY
419;LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
420;HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
421;HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH COMPLICATION OR COMORBIDITY
422;HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
423;OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
424;OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY
425;OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
432;CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MAJOR COMPLICATION OR COMORBIDITY
433;CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH COMPLICATION OR COMORBIDITY
434;CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
435;MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MAJOR COMPLICATION OR COMORBIDITY
436;MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH COMPLICATION OR COMORBIDITY
437;MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
438;DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
439;DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH COMPLICATION OR COMORBIDITY
440;DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
441;DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MAJOR COMPLICATION OR COMORBIDITY
442;DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH COMPLICATION OR COMORBIDITY
443;DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
444;DISORDERS OF THE BILIARY TRACT WITH MAJOR COMPLICATION OR COMORBIDITY
445;DISORDERS OF THE BILIARY TRACT WITH COMPLICATION OR COMORBIDITY
446;DISORDERS OF THE BILIARY TRACT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
453;COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH MAJOR COMPLICATION OR COMORBIDITY
454;COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH COMPLICATION OR COMORBIDITY
455;COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
456;SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH MAJOR COMPLICATION OR COMORBIDITY
457;SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH COMPLICATION OR COMORBIDITY
458;SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
459;SPINAL FUSION EXCEPT CERVICAL WITH MAJOR COMPLICATION OR COMORBIDITY
460;SPINAL FUSION EXCEPT CERVICAL WITHOUT MAJOR COMPLICATION OR COMORBIDITY
461;BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MAJOR COMPLICATION OR COMORBIDITY
462;BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
463;WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
464;WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH COMPLICATION OR COMORBIDITY
465;WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
466;REVISION OF HIP OR KNEE REPLACEMENT WITH MAJOR COMPLICATION OR COMORBIDITY
467;REVISION OF HIP OR KNEE REPLACEMENT WITH COMPLICATION OR COMORBIDITY
468;REVISION OF HIP OR KNEE REPLACEMENT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
469;MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MAJOR COMPLICATION OR COMORBIDITY
470;MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
471;CERVICAL SPINAL FUSION WITH MAJOR COMPLICATION OR COMORBIDITY
472;CERVICAL SPINAL FUSION WITH COMPLICATION OR COMORBIDITY
473;CERVICAL SPINAL FUSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
474;AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
475;AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH COMPLICATION OR COMORBIDITY
476;AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
477;BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MAJOR COMPLICATION OR COMORBIDITY
478;BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH COMPLICATION OR COMORBIDITY
479;BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
480;HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MAJOR COMPLICATION OR COMORBIDITY
481;HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH COMPLICATION OR COMORBIDITY
482;HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
483;MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
484;MAJOR JOINT & LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
485;KNEE PROCEDURES WITH PDX OF INFECTION WITH MAJOR COMPLICATION OR COMORBIDITY
486;KNEE PROCEDURES WITH PDX OF INFECTION WITH COMPLICATION OR COMORBIDITY
487;KNEE PROCEDURES WITH PDX OF INFECTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
488;KNEE PROCEDURES WITHOUT PDX OF INFECTION WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
489;KNEE PROCEDURES WITHOUT PDX OF INFECTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
490;BACK & NECK PROCEDURE EXCEPT SPINAL FUSION WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY OR DISC DEVICES/NEUROSTIMULATORS
491;BACK & NECK PROCEDURE EXCEPT SPINAL FUSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
492;LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MAJOR COMPLICATION OR COMORBIDITY
493;LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH COMPLICATION OR COMORBIDITY
494;LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
495;LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATIOM DEVICES EXCEPT HIP AND FEMUR WITH MAJOR COMPLICATION OR COMORBIDITY
496;LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH COMPLICATION OR COMORBIDITY
497;LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
498;LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
499;LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
500;SOFT TISSUE PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
501;SOFT TISSUE PROCEDURES WITH COMPLICATION OR COMORBIDITY
502;SOFT TISSUE PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
503;FOOT PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
504;FOOT PROCEDURES WITH COMPLICATION OR COMORBIDITY
505;FOOT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
506;MAJOR THUMB OR JOINT PROCEDURES
507;MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
508;MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
509;ARTHROSCOPY
510;SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
511;SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH COMPLICATION OR COMORBIDITY
512;SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
513;HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
514;HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
515;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
516;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY
517;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
518;BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MAJOR COMPLICATION OR COMORBIDITY OR DISC DEVICE OR NEUROSTIMULATOR
519;BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH COMPLICATION OR COMORBIDITY
520;BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
533;FRACTURES OF FEMUR WITH MAJOR COMPLICATION OR COMORBIDITY
534;FRACTURES OF FEMUR WITHOUT MAJOR COMPLICATION OR COMORBIDITY
535;FRACTURES OF HIP AND PELVIS WITH MAJOR COMPLICATION OR COMORBIDITY
536;FRACTURES OF HIP AND PELVIS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
537;SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
538;SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
539;OSTEOMYELITIS WITH MAJOR COMPLICATION OR COMORBIDITY
540;OSTEOMYELITIS WITH COMPLICATION OR COMORBIDITY
541;OSTEOMYELITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
542;PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
543;PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH COMPLICATION OR COMORBIDITY
544;PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
545;CONNECTIVE TISSUE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
546;CONNECTIVE TISSUE DISORDERS WITH COMPLICATION OR COMORBIDITY
547;CONNECTIVE TISSUE DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
548;SEPTIC ARTHRITIS WITH MAJOR COMPLICATION OR COMORBIDITY
549;SEPTIC ARTHRITIS WITH COMPLICATION OR COMORBIDITY
550;SEPTIC ARTHRITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
551;MEDICAL BACK PROBLEMS WITH MAJOR COMPLICATION OR COMORBIDITY
552;MEDICAL BACK PROBLEMS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
553;BONE DISEASES AND ARTHROPATHIES WITH MAJOR COMPLICATION OR COMORBIDITY
554;BONE DISEASES AND ARTHROPATHIES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
555;SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MAJOR COMPLICATION OR COMORBIDITY
556;SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MAJOR COMPLICATION OR COMORBIDITY
557;TENDONITIS, MYOSITIS AND BURSITIS WITH MAJOR COMPLICATION OR COMORBIDITY
558;TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
559;AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MAJOR COMPLICATION OR COMORBIDITY
560;AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH COMPLICATION OR COMORBIDITY
561;AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
562;FRACTURE SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MAJOR COMPLICATION OR COMORBIDITY
563;FRACTURE SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MAJOR COMPLICATION OR COMORBIDITY
